iter	RMSE
360	0.345092538
361	0.3447497486
362	0.3444122276
363	0.3441666448
364	0.3438316332
365	0.3435457825
366	0.343331738
367	0.3431530067
368	0.343001973
369	0.3428067331
370	0.3424718885
371	0.3422254651
372	0.3419226251
373	0.3416478581
374	0.3412350607
375	0.3409455051
376	0.3407956252
377	0.3404632789
378	0.3400372176
379	0.3398162895
380	0.3394449622
381	0.3392101078
382	0.339046212
383	0.338761374
384	0.3385503516
385	0.338364147
386	0.3380445845
387	0.3378572347
388	0.3377331146
389	0.3374867325
390	0.3372277773
391	0.3370645289
392	0.3368064556
393	0.3366238279
394	0.3364505537
395	0.3363509166
396	0.3360059462
397	0.3358760864
398	0.335595991
399	0.3353583778
